,PS Code,Regional code,PS Name,ConstCode,Constituency,PriorityWithPBankRegion,PriorityWithPBankConst,District,Region,Address,Location,Latitude,Longitude
12,C010113,C,MOUNTAIN TOP CHAPEL. NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,MOUNTAIN TOP CHAPEL. NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,Mountain Top Chapel-Ngleshie Amanfro,5.53088,-0.40935
13,C010114,C,RESIDENT WELFARE ASSOC. IRON CITY-AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,RESIDENT WELFARE ASSOC. IRON CITY-AMANFRO 1 GA SOUTH GREATER ACCRA,Resident Welfare Assoc. Iron City-Amanfro,5.53503,-0.40311
14,C010115,C,RESIDENT WELFARE ASSOC. IRON CITY-AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,RESIDENT WELFARE ASSOC. IRON CITY-AMANFRO 2 GA SOUTH GREATER ACCRA,Resident Welfare Assoc. Iron City-Amanfro,5.53503,-0.40311
15,C010116,C,SNR HIGH SCH. NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,SNR HIGH SCH. NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
16,C010117,C,SNR HIGH SCH. NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,SNR HIGH SCH. NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
17,C010118,C,DAIRUS INT'L SCH. NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,DAIRUS INT'L SCH. NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
18,C010119,C,DAIRUS INT'L SCH. NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,DAIRUS INT'L SCH. NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
19,C010120,C,OBOLO STORE. TOP TOWN-NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,OBOLO STORE. TOP TOWN-NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,Obolo Store-Toptown-Ngleshie Amanfro,5.54466,-0.40454
20,C010121,C,OBOLO STORE. TOP TOWN-NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,OBOLO STORE. TOP TOWN-NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,Obolo Store-Toptown-Ngleshie Amanfro,5.54466,-0.40454
21,C010122,C,BARBARA INT'L SCH. TOP TOWN-NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,BARBARA INT'L SCH. TOP TOWN-NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,Obolo Store-Toptown-Ngleshie Amanfro,5.54466,-0.40454
22,C010123,C,BARBARA INT'L SCH. TOP TOWN-NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,BARBARA INT'L SCH. TOP TOWN-NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,Obolo Store-Toptown-Ngleshie Amanfro,5.54466,-0.40454
23,C010124,C,AFAHJOY SCH. NGLESHIE AMANFRO 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,AFAHJOY SCH. NGLESHIE AMANFRO 1 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
24,C010125,C,AFAHJOY SCH. NGLESHIE AMANFRO 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,AFAHJOY SCH. NGLESHIE AMANFRO 2 GA SOUTH GREATER ACCRA,SNR High School-Ngleshie Amanfro,5.54378,-0.40713
25,C010126,C,ST. FAUSTINA CATHOLIC CHURCH,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ST. FAUSTINA CATHOLIC CHURCH GA SOUTH GREATER ACCRA,Catholic Church,5.57001,-0.29811
26,C010127,C,GOOD AMBITION SCHOOL,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,GOOD AMBITION SCHOOL GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
27,C010128,C,RED BULB. IRON CITY. NGLESHIE AMANFRO,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,RED BULB. IRON CITY. NGLESHIE AMANFRO GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
28,C010129,C,ATTIA TAXI RANK. NGLESHIE AMANFRO,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ATTIA TAXI RANK. NGLESHIE AMANFRO GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
29,C010201,C,M A PRIM SCH. GALILEA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M A PRIM SCH. GALILEA 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
30,C010202,C,M A PRIM SCH. GALILEA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M A PRIM SCH. GALILEA 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
31,C010203,C,M A PRIM SCH. GALILEA 3,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M A PRIM SCH. GALILEA 3 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
32,C010204,C,CHRIST APOSTOLIC CHURCH. GALILEA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,CHRIST APOSTOLIC CHURCH. GALILEA 1 GA SOUTH GREATER ACCRA,Christ Apostolic Church,5.54089,-0.39736
33,C010205,C,CHRIST APOSTOLIC CHURCH. GALILEA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,CHRIST APOSTOLIC CHURCH. GALILEA 2 GA SOUTH GREATER ACCRA,Christ Apostolic Church,5.54089,-0.39736
34,C010206,C,CHRIST APOSTOLIC CHURCH. GALILEA 3,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,CHRIST APOSTOLIC CHURCH. GALILEA 3 GA SOUTH GREATER ACCRA,Christ Apostolic Church,5.54089,-0.39736
35,C010207,C,GOSPEL HEALING CHURCH. OMANKOPE 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,GOSPEL HEALING CHURCH. OMANKOPE 1 GA SOUTH GREATER ACCRA,Gospel Healing Church,5.54158,-0.40134
36,C010208,C,GOSPEL HEALING CHURCH. OMANKOPE 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,GOSPEL HEALING CHURCH. OMANKOPE 2 GA SOUTH GREATER ACCRA,Gospel Healing Church,5.54158,-0.40134
37,C010209,C,CHURCH OF PENTECOST. TOMEFA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,CHURCH OF PENTECOST. TOMEFA 1 GA SOUTH GREATER ACCRA,Church of Pentecost,5.71222,-0.42312
38,C010210,C,CHURCH OF PENTECOST. TOMEFA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,CHURCH OF PENTECOST. TOMEFA 2 GA SOUTH GREATER ACCRA,Church of Pentecost,5.71222,-0.42312
39,C010211,C,M A JHS. GALILEA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M A JHS. GALILEA 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
40,C010212,C,M A JHS. GALILEA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M A JHS. GALILEA 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
41,C010213,C,ST. SAY PREP SCH. GALILEA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ST. SAY PREP SCH. GALILEA 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
42,C010214,C,ST. SAY PREP SCH. GALILEA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ST. SAY PREP SCH. GALILEA 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
43,C010215,C,ST. SAY PREP SCH. GALILEA 3,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ST. SAY PREP SCH. GALILEA 3 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
44,C010216,C,WISDOM SCH. GALILEA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,WISDOM SCH. GALILEA 1 GA SOUTH GREATER ACCRA,Wisdom School,5.54487,-0.3897
45,C010217,C,WISDOM SCH. GALILEA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,WISDOM SCH. GALILEA 2 GA SOUTH GREATER ACCRA,Wisdom School,5.54487,-0.3897
46,C010218,C,WEST END UNIVERSITY,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,WEST END UNIVERSITY GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
47,C010219,C,CANAL AVENUE. GALILEA,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,CANAL AVENUE. GALILEA GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
48,C010220,C,BOAKYE PARK. GALILEA,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,BOAKYE PARK. GALILEA GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
49,C010301,C,M.A BASIC SCHOOLS. APLAKU 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M.A BASIC SCHOOLS. APLAKU 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
50,C010302,C,M.A BASIC SCHOOLS. APLAKU 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M.A BASIC SCHOOLS. APLAKU 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
51,C010303,C,M.A BASIC SCHOOLS. APLAKU 3,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M.A BASIC SCHOOLS. APLAKU 3 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
52,C010304,C,E.P. CHURCH. TSOKOMEY 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,E.P. CHURCH. TSOKOMEY 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
53,C010305,C,E.P. CHURCH. TSOKOMEY 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,E.P. CHURCH. TSOKOMEY 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
54,C010306,C,TEMP BOOTH. AYIGBE TOWN 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TEMP BOOTH. AYIGBE TOWN 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
55,C010307,C,TEMP BOOTH. AYIGBE TOWN 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TEMP BOOTH. AYIGBE TOWN 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
56,C010308,C,TEMP BOOTH. FAAJIEMOHE,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TEMP BOOTH. FAAJIEMOHE GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
57,C010309,C,LINKSFIELD PREP SCH. NEW APLAKU 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,LINKSFIELD PREP SCH. NEW APLAKU 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
58,C010310,C,LINKSFIELD PREP SCH. NEW APLAKU 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,LINKSFIELD PREP SCH. NEW APLAKU 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
59,C010311,C,ST. KAROL NURSING SCHOOL. ISRAEL APLAKU 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ST. KAROL NURSING SCHOOL. ISRAEL APLAKU 1 GA SOUTH GREATER ACCRA,ST. Karol Nursing School,5.52071,-0.32902
60,C010312,C,ST. KAROL NURSING SCHOOL. ISRAEL APLAKU 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ST. KAROL NURSING SCHOOL. ISRAEL APLAKU 2 GA SOUTH GREATER ACCRA,ST. Karol Nursing School,5.52071,-0.32902
61,C010313,C,SHILOH PREP SCH. BORTIANOR,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,SHILOH PREP SCH. BORTIANOR GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
62,C010314,C,LIGHTHOUSE CHAPEL. BORTIANOR 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,LIGHTHOUSE CHAPEL. BORTIANOR 1 GA SOUTH GREATER ACCRA,Lighthouse Chapel,5.51026,-0.33786
63,C010315,C,LIGHTHOUSE CHAPEL. BORTIANOR 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,LIGHTHOUSE CHAPEL. BORTIANOR 2 GA SOUTH GREATER ACCRA,Lighthouse Chapel,5.51026,-0.33786
64,C010316,C,METH PRIM SCH. BORTIANOR 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,METH PRIM SCH. BORTIANOR 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
65,C010317,C,METH PRIM SCH. BORTIANOR 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,METH PRIM SCH. BORTIANOR 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
66,C010318,C,GHANA APOSTOLIC CHURCH. BORTIANOR,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,GHANA APOSTOLIC CHURCH. BORTIANOR GA SOUTH GREATER ACCRA,Ghana Apostolic Church,5.5086,-0.33692
67,C010319,C,CHURCH OF PENTECOST. BORTIANOR 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,CHURCH OF PENTECOST. BORTIANOR 1 GA SOUTH GREATER ACCRA,Church of Pentecost,5.71222,-0.42312
68,C010320,C,CHURCH OF PENTECOST. BORTIANOR 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,CHURCH OF PENTECOST. BORTIANOR 2 GA SOUTH GREATER ACCRA,Church of Pentecost,5.71222,-0.42312
69,C010321,C,APLAKU-KASOA MARKET. BORTIANOR,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,APLAKU-KASOA MARKET. BORTIANOR GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
70,C010322,C,M.A BASIC SCHOOLS. BORTIANOR,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,M.A BASIC SCHOOLS. BORTIANOR GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
71,C010401,C,TOLL BOOTH. LORRY STATION GEDAN TUBA JUNCTION 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TOLL BOOTH. LORRY STATION GEDAN TUBA JUNCTION 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
72,C010402,C,TOLL BOOTH. LORRY STATION GEDAN TUBA JUNCTION 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TOLL BOOTH. LORRY STATION GEDAN TUBA JUNCTION 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
73,C010403,C,MUNIRANIYYA ISLAMIC SCHOOL. GEDAN TUBA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,MUNIRANIYYA ISLAMIC SCHOOL. GEDAN TUBA 1 GA SOUTH GREATER ACCRA,Muniraniyya Islamic School,5.51329,-0.3905
74,C010404,C,MUNIRANIYYA ISLAMIC SCHOOL. GEDAN TUBA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,MUNIRANIYYA ISLAMIC SCHOOL. GEDAN TUBA 2 GA SOUTH GREATER ACCRA,Muniraniyya Islamic School,5.51329,-0.3905
75,C010405,C,MUNIRANIYYA ISLAMIC SCHOOL. GEDAN TUBA 3,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,MUNIRANIYYA ISLAMIC SCHOOL. GEDAN TUBA 3 GA SOUTH GREATER ACCRA,Muniraniyya Islamic School,5.51329,-0.3905
76,C010406,C,IDA QUARTERS. GEDAN-TUBA,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,IDA QUARTERS. GEDAN-TUBA GA SOUTH GREATER ACCRA,I. D. A Quarters-Gedan Tuba,5.51183,-0.38274
77,C010407,C,NEW CONVENANT SCH. GEDAN TUBA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,NEW CONVENANT SCH. GEDAN TUBA 1 GA SOUTH GREATER ACCRA,New Covenant School,5.53053,-0.38656
78,C010408,C,NEW CONVENANT SCH. GEDAN TUBA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,NEW CONVENANT SCH. GEDAN TUBA 2 GA SOUTH GREATER ACCRA,New Covenant School,5.53053,-0.38656
79,C010409,C,FATHER'S LEGACY SCH. GEDAN TUBA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,FATHER'S LEGACY SCH. GEDAN TUBA 1 GA SOUTH GREATER ACCRA,Father's Legacy School-Tuba Kuwait-Gedan Tuba,5.52527,-0.40916
80,C010410,C,FATHER'S LEGACY SCH. GEDAN TUBA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,FATHER'S LEGACY SCH. GEDAN TUBA 2 GA SOUTH GREATER ACCRA,Father's Legacy School-Tuba Kuwait-Gedan Tuba,5.52527,-0.40916
81,C010411,C,TEMP BOOTH. BEACH DRIVE ESTATES 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TEMP BOOTH. BEACH DRIVE ESTATES 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
82,C010412,C,TEMP BOOTH. BEACH DRIVE ESTATES 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TEMP BOOTH. BEACH DRIVE ESTATES 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
83,C010413,C,TEMP. BOOTH KUWAIT-TUBA,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TEMP. BOOTH KUWAIT-TUBA GA SOUTH GREATER ACCRA,"Tuba, Gbawe, Ga South, Greater Accra",5.513207524,-0.387424782
84,C010501,C,ACADEMY OF AFRICAN ARTS AND MUSIC. KOKROBITEY,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,ACADEMY OF AFRICAN ARTS AND MUSIC. KOKROBITEY GA SOUTH GREATER ACCRA,Academy of African Arts and Music,5.49046,-0.37457
85,C010502,C,OLD LORRY STATION. KOKROBITEY KROTIA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,OLD LORRY STATION. KOKROBITEY KROTIA 1 GA SOUTH GREATER ACCRA,"Krokrobite, Gbawe, Ga South, Greater Accra",5.50064,-0.36666
86,C010503,C,OLD LORRY STATION. KOKROBITEY KROTIA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,OLD LORRY STATION. KOKROBITEY KROTIA 2 GA SOUTH GREATER ACCRA,"Krokrobite, Gbawe, Ga South, Greater Accra",5.50064,-0.36666
87,C010504,C,MA PRIM SCH. KOKROBITEY 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,MA PRIM SCH. KOKROBITEY 1 GA SOUTH GREATER ACCRA,"Krokrobite, Gbawe, Ga South, Greater Accra",5.50064,-0.36666
88,C010505,C,MA PRIM SCH. KOKROBITEY 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,MA PRIM SCH. KOKROBITEY 2 GA SOUTH GREATER ACCRA,"Krokrobite, Gbawe, Ga South, Greater Accra",5.50064,-0.36666
89,C010506,C,MA PRIM SCH. KOKROBITEY 3,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,MA PRIM SCH. KOKROBITEY 3 GA SOUTH GREATER ACCRA,"Krokrobite, Gbawe, Ga South, Greater Accra",5.50064,-0.36666
90,C010507,C,TEMP BOOTH. LANGMA 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TEMP BOOTH. LANGMA 1 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
91,C010508,C,TEMP BOOTH. LANGMA 2,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,TEMP BOOTH. LANGMA 2 GA SOUTH GREATER ACCRA,"Ga South, Greater Accra",5.71851,-0.48509
92,C010509,C,FILLING STATION. OSHIYIE 1,C0101,BORTIANOR-NGLESHIE AMANFRO,,,GA SOUTH,GREATER ACCRA,FILLING STATION. OSHIYIE 1 GA SOUTH GREATER ACCRA,"Filling Station, Accra, Greater Accra",5.581047845,-0.281289881
